Date,Close,Silver_Close,VNI_Close,USD_VND_Rate,Hseng_Close,Nikkei_Close,Nikkei_Volume,Dax_Close,SP_Close,DJ_Close,DJ_Volume
2017-11-07,1275.8,16.94,850.33,22713.5,28994.34,22990.0,97210.0,13379.27,2590.6,23557.23,285080000.0
2017-11-08,1283.7,17.138,859.7,22710.0,28907.6,22940.0,102060.0,13382.42,2594.4,23563.36,264670000.00000003
2017-11-09,1287.5,16.975,860.4,22712.5,29136.57,22900.0,179360.0,13182.56,2584.6,23461.94,305440000.0
2017-11-10,1274.2,16.871,868.21,22713.5,29120.92,22520.0,152520.0,13127.47,2582.3,23422.21,351280000.0
2017-11-13,1278.9,17.047,879.34,22707.5,29182.18,22280.0,86940.0,13074.42,2584.8,23439.7,491260000.0
2017-11-14,1282.9,17.073,880.9,22715.0,29152.12,22430.0,81310.0,13033.48,2578.9,23409.47,561330000.0
2017-11-15,1277.7,16.971,882.59,22711.0,28851.69,22040.0,102480.0,12976.37,2564.6,23271.28,404300000.0
2017-11-16,1278.2,17.072,892.8,22711.0,29018.76,22410.0,110960.0,13047.22,2585.6,23458.36,402020000.0
2017-11-17,1296.5,17.373,890.69,22712.5,29199.04,22450.0,114940.0,12993.73,2578.8,23358.24,386000000.0
2017-11-20,1275.3,16.842,903.55,22710.0,29260.31,22240.0,62910.0,13058.66,2582.1,23430.33,315330000.0
2017-11-21,1281.7,16.96,918.3,22710.0,29818.07,22450.0,57170.0,13167.54,2599.0,23590.83,329650000.0
2017-11-22,1292.2,17.112,932.66,22722.5,30003.49,22580.0,55730.0,13015.04,2597.1,23526.18,268760000.0
2017-11-23,1287.3,16.992,933.7,22727.5,29707.94,22418.0,48670.0,13008.55,2601.4,23580.78,296320000.0
2017-11-27,1294.4,17.02,938.61,22720.0,29686.19,22500.0,48670.0,13000.2,2601.4,23580.78,296320000.0
2017-11-28,1294.9,16.822,941.21,22715.0,29680.85,22500.0,55590.0,13059.53,2627.0,23836.71,319240000.0
2017-11-29,1286.2,16.561,952.14,22720.0,29623.83,22620.0,59970.0,13061.87,2626.1,23940.68,401410000.0
2017-11-30,1276.7,16.474,949.93,22717.5,29177.35,22760.0,77360.0,13023.98,2647.6,24272.35,488200000.0
2017-12-01,1282.3,16.388,960.33,22712.5,29074.24,22780.0,108300.0,12861.49,2642.2,24231.59,417910000.0
2017-12-04,1277.7,16.373,970.02,22714.5,29138.28,22710.0,147660.0,13058.55,2639.4,24290.05,424250000.0
2017-12-05,1264.9,16.068,953.3,22715.0,28842.8,22610.0,133790.0,13048.54,2629.6,24180.64,371190000.0
2017-12-06,1266.1,15.955,947.64,22715.0,28224.8,22200.0,131110.0,12998.85,2629.3,24140.91,312720000.0
2017-12-07,1253.1,15.802,938.65,22713.5,28303.19,22530.0,72300.0,13045.15,2637.0,24211.48,319060000.0
2017-12-08,1248.4,15.823,940.16,22710.5,28639.85,22790.0,72900.0,13153.7,2651.5,24329.16,293590000.0
2017-12-11,1246.9,15.785,917.45,22710.0,28965.29,22890.0,46520.0,13123.65,2660.0,24386.03,300580000.0
2017-12-12,1241.7,15.668,927.25,22713.5,28793.88,22840.0,39380.0,13183.53,2664.1,24504.8,342220000.0
2017-12-13,1248.6,15.869,924.4,22713.5,29222.1,22700.0,41680.0,13125.64,2662.8,24585.43,325280000.0
2017-12-14,1257.1,15.934,935.85,22715.0,29166.38,22630.0,35740.0,13068.08,2652.0,24508.66,314780000.0
2017-12-15,1257.5,16.063,935.16,22712.5,28848.11,22520.0,55120.0,13103.56,2675.8,24651.74,635740000.0
2017-12-18,1265.5,16.205,958.06,22714.5,29050.41,22880.0,49320.0,13312.3,2690.2,24792.2,354880000.0
2017-12-19,1264.2,16.153,951.42,22713.5,29253.66,22800.0,41700.0,13215.79,2681.5,24754.75,335330000.0
2017-12-20,1269.6,16.275,953.51,22712.5,29234.09,22860.0,28700.0,13069.17,2679.2,24726.65,341790000.0
2017-12-21,1270.6,16.239,946.06,22715.0,29367.06,22800.0,35290.0,13109.74,2684.6,24782.29,339530000.0
2017-12-22,1278.8,16.444,952.32,22713.5,29578.01,22850.0,30150.0,13072.79,2683.3,24754.06,255140000.0
2017-12-26,1287.5,16.604,965.93,22702.5,29597.66,22850.0,12670.0,13070.02,2680.5,24746.21,208290000.0
2017-12-27,1291.4,16.756,968.46,22710.5,29597.66,22890.0,18470.0,13070.02,2682.6,24774.3,225890000.0
2017-12-28,1297.2,16.923,976.72,22710.5,29863.71,22780.0,34840.0,12979.94,2687.5,24837.51,200960000.0
2017-12-29,1309.3,17.145,984.24,22710.0,29919.15,22750.0,27020.0,12917.64,2673.6,24719.22,270760000.0
2018-01-02,1316.1,17.206,995.77,22710.0,30515.31,22825.0,68020.0,12871.39,2695.8,24824.01,341130000.0
2018-01-03,1318.5,17.267,1005.67,22708.5,30560.95,23133.0,68020.0,12978.21,2713.1,24922.68,456790000.0
2018-01-04,1321.6,17.269,1019.75,22710.2,30736.48,23410.0,68020.0,13167.89,2724.0,25075.13,403280000.0
2018-01-05,1322.3,17.285,1012.65,22709.5,30814.64,23720.0,66210.0,13319.64,2743.2,25295.87,358020000.0
2018-01-08,1320.4,17.144,1022.9,22712.5,30899.53,23968.0,67950.0,13367.78,2747.7,25283.0,341390000.0
2018-01-09,1313.7,17.01,1033.56,22709.5,31011.41,23860.0,67950.0,13385.59,2751.3,25385.8,333490000.0
2018-01-10,1319.3,17.035,1038.11,22713.5,31073.72,23800.0,51220.0,13281.34,2748.2,25369.13,341470000.0
2018-01-11,1322.5,16.966,1048.17,22707.5,31120.39,23650.0,72040.0,13202.9,2767.6,25574.73,346830000.0
2018-01-12,1334.9,17.141,1050.11,22709.5,31412.54,23640.0,61090.0,13245.03,2786.2,25803.19,376390000.0
2018-01-15,1337.1,17.189,1063.47,22709.5,31338.87,23720.0,52080.0,13200.51,2802.6,26115.65,522720000.0
2018-01-17,1339.2,17.166,1034.69,22712.5,31983.41,23820.0,73000.0,13183.96,2802.6,26115.65,522720000.0
2018-01-18,1327.2,16.954,1050.25,22713.5,32121.94,23770.0,94070.0,13281.43,2798.0,26017.81,492780000.0
2018-01-19,1333.1,17.036,1062.07,22712.5,32254.89,23800.0,63080.0,13434.45,2810.3,26071.72,585000000.0
2018-01-22,1331.9,16.989,1087.42,22711.0,32393.41,23790.0,49310.0,13463.69,2833.0,26214.6,431200000.0
2018-01-23,1336.7,16.913,1087.42,22710.5,32930.7,24120.0,64440.0,13559.6,2839.1,26210.81,433490000.0
2018-01-24,1356.3,17.489,1104.57,22710.5,32958.69,23910.0,71130.0,13414.74,2837.5,26252.12,518789999.99999994
2018-01-25,1362.9,17.615,1104.57,22713.5,32654.45,23660.0,83810.0,13298.36,2839.2,26392.79,401390000.0
