Date,Dax_Close,Dax_Volume,Dax_Change
31/10/2016,"10,665.01",70.46M,-0.29%
28/10/2016,"10,696.19",72.76M,-0.19%
27/10/2016,"10,717.08",84.11M,0.07%
26/10/2016,"10,709.68",78.21M,-0.44%
25/10/2016,"10,757.31",92.48M,-0.04%
24/10/2016,"10,761.17",79.89M,0.47%
21/10/2016,"10,710.73",86.86M,0.09%
20/10/2016,"10,701.39",106.41M,0.52%
19/10/2016,"10,645.68",75.98M,0.13%
18/10/2016,"10,631.55",88.96M,1.22%
17/10/2016,"10,503.57",63.73M,-0.73%
14/10/2016,"10,580.38",101.26M,1.60%
13/10/2016,"10,414.07",98.76M,-1.04%
12/10/2016,"10,523.07",90.40M,-0.51%
11/10/2016,"10,577.16",97.98M,-0.44%
10/10/2016,"10,624.08",101.67M,1.27%
7/10/2016,"10,490.86",125.27M,-0.74%
6/10/2016,"10,568.80",108.66M,-0.16%
5/10/2016,"10,585.78",96.74M,-0.32%
4/10/2016,"10,619.61",131.53M,1.03%
30/09/2016,"10,511.02",188.17M,1.01%
29/09/2016,"10,405.54",103.88M,-0.31%
28/09/2016,"10,438.34",87.74M,0.74%
27/09/2016,"10,361.48",111.48M,-0.31%
26/09/2016,"10,393.71",105.45M,-2.19%
23/09/2016,"10,626.97",70.00M,-0.44%
22/09/2016,"10,674.18",98.95M,2.28%
21/09/2016,"10,436.49",79.03M,0.41%
20/09/2016,"10,393.86",74.05M,0.19%
19/09/2016,"10,373.87",72.79M,0.95%
16/09/2016,"10,276.17",214.98M,-1.49%
15/09/2016,"10,431.20",83.38M,0.51%
14/09/2016,"10,378.40",94.00M,-0.08%
13/09/2016,"10,386.60",89.96M,-0.43%
12/9/2016,"10,431.77",172.22M,-1.34%
9/9/2016,"10,573.44",101.92M,-0.95%
8/9/2016,"10,675.29",93.70M,-0.72%
7/9/2016,"10,752.98",79.76M,0.62%
6/9/2016,"10,687.14",67.23M,0.14%
5/9/2016,"10,672.22",58.16M,-0.11%
2/9/2016,"10,683.82",83.69M,1.42%
1/9/2016,"10,534.31",104.48M,-0.55%
31/08/2016,"10,592.69",89.94M,-0.61%
30/08/2016,"10,657.64",62.09M,1.07%
29/08/2016,"10,544.44",35.06M,-0.41%
26/08/2016,"10,587.77",49.68M,0.55%
25/08/2016,"10,529.59",54.75M,-0.88%
24/08/2016,"10,622.97",62.92M,0.28%
23/08/2016,"10,592.88",57.65M,0.94%
22/08/2016,"10,494.35",60.73M,-0.47%
19/08/2016,"10,544.36",75.39M,-0.55%
18/08/2016,"10,603.03",55.43M,0.62%
17/08/2016,"10,537.67",68.62M,-1.30%
16/08/2016,"10,676.65",63.83M,-0.58%
15/08/2016,"10,739.21",42.91M,0.24%
